
Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,same_state,age,python_yn,R_yn,spark,aws,excel
"Data Scientist, Contract",CA$73K-CA$100K (Glassdoor Est.),3.6,"Bell Canada
3.6",Don Mills,"Montreal, Canada",10000+ employees,1880,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (CAD),"Rogers Communications, TELUS, IBM",0,0,73,100,86.5,"Bell Canada
",Don Mills,0,140,1,0,1,0,1
Data Scientist,CA$57K-CA$79K (Glassdoor Est.),3.3,"SkipTheDishes
3.3",Winnipeg,"Winnipeg, Canada",201 to 500 employees,2013,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,0,57,79,68.0,"SkipTheDishes
",Winnipeg,0,7,1,0,1,0,0
Data Scientist Student,CA$57K-CA$79K (Glassdoor Est.),3.2,"Blackberry
3.2",Waterloo,"Waterloo, Canada",1001 to 5000 employees,1984,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (CAD),-1,0,0,57,79,68.0,"Blackberry
",Waterloo,0,36,1,0,0,0,0
Data Scientist/ Developer,CA$57K-CA$79K (Glassdoor Est.),5.0,"NDAX INC
5.0",Calgary,"Calgary, Canada",1 to 50 employees,2017,Company - Public,Stock Exchanges,Finance,Unknown / Non-Applicable,-1,0,0,57,79,68.0,"NDAX INC
",Calgary,0,3,1,0,0,0,0
Data Scientist,CA$57K-CA$79K (Glassdoor Est.),5.0,"High Tech Genesis
5.0",Ottawa,"Ottawa, Canada",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,57,79,68.0,"High Tech Genesis
",Ottawa,0,12,1,0,1,0,0
Data scientist figth money laundering,CA$57K-CA$79K (Glassdoor Est.),4.1,"Banque Nationale du Canada
4.1",Montreal,"Montreal, Canada",10000+ employees,1859,Company - Public,Banks & Building Societies,Finance,$10+ billion (CAD),-1,0,0,57,79,68.0,"Banque Nationale du Canada
",Montreal,0,161,0,0,0,0,0
Data Scientist,CA$57K-CA$79K (Glassdoor Est.),3.1,"autoTrader.ca
3.1",Toronto,"Etobicoke, Canada",501 to 1000 employees,2006,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (CAD),"CarGurus, Kijiji, Flipp",0,0,57,79,68.0,"autoTrader.ca
",Toronto,0,14,1,0,0,0,1
Data Scientist/Time Series,CA$57K-CA$79K (Glassdoor Est.),3.8,"Scarsin
3.8",Markham,"Uxbridge, Canada",51 to 200 employees,2002,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (CAD),-1,0,0,57,79,68.0,"Scarsin
",Markham,0,18,0,0,0,0,1
Data Scientist,CA$57K-CA$79K (Glassdoor Est.),4.4,"MobSquad
4.4",Calgary,"Calgary, Canada",1 to 50 employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,0,57,79,68.0,"MobSquad
",Calgary,0,-1,1,0,1,0,1
Data Scientist,CA$57K-CA$79K (Glassdoor Est.),4.3,"J.D. Irving
4.3",Dieppe,"Saint John, Canada",10000+ employees,1882,Company - Private,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,-1,0,0,57,79,68.0,"J.D. Irving
",Dieppe,0,138,1,0,0,0,0
Data Scientist,CA$57K-CA$79K (Glassdoor Est.),4.7,"TEEMA
4.7",North York,"Litchfield Park, AZ",201 to 500 employees,2008,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (CAD),-1,0,0,57,79,68.0,"TEEMA
",North York,0,12,1,0,0,0,0
Data Scientist,CA$57K-CA$79K (Glassdoor Est.),3.3,"Purolator
3.3",Mississauga,"Mississauga, Canada",10000+ employees,-1,Company - Private,Express Delivery Services,Transportation & Logistics,$2 to $5 billion (CAD),-1,0,0,57,79,68.0,"Purolator
",Mississauga,0,-1,1,0,1,0,1
